title,time,artist,album,genre,plays
Happier,3:34,Marshmello & Bastille,Happier - Single,Dance,21
Babel,3:28,Mumford & Sons,Babel,Rock,21
Apollo,3:32,Oh Wonder,22 Make,Pop,21
drivers license,4:02,Olivia Rodrigo,drivers license - Single,Pop,21
Domani e' un altro giorno,3:13,Ornella Vanoni,Un gioco senza eta',Worldwide,21
Che vuole questa musica stasera,3:39,Peppino Gagliardi,Aspettando il sole (Original Motion Picture Soundtrack),Soundtrack,21
Big & Scared,5:16,Raleigh Ritchie,Andy,Alternative,21
Atlas: Four,4:54,Sleeping At Last,Atlas: Four - Single,Singer/Songwriter,21
Taste,4:24,Sleeping At Last,Atlas: Senses - EP,Singer/Songwriter,21
In the Embers,3:58,Sleeping At Last,Atlas: Year One,Alternative,21
House of Gold,2:44,twenty one pilots,Vessel (Bonus Tracks Version),Alternative,21
Mombasa,3:38,2CELLOS,Celloverse,Classical,21
Daphne Blue,3:03,The Band CAMINO,tryhard,Alternative,20
"Jesus, We Love You (Live)",6:55,Bethel Music & Paul McClure,We Will Not Be Shaken (Live) [Deluxe Edition],Christian,20
Venice,5:15,Canyon City,Bluebird,Singer/Songwriter,20
Sing of the Moon,4:06,The Collection,Listen to the River,Indie Pop,20
Bows,3:40,Covey,Bows - Single,Folk,20
Don't Matter,3:21,Derik Fein,Don't Matter - Single,Pop,20
If I'm Not Enough for You,2:24,Ed Prosek,California - EP,Singer/Songwriter,20
The Years,5:09,The Family Crest,The War: Act I,Pop,20
Caruso,4:38,Fiorella Mannoia,A te (Special Edition),Pop,20
Blame It on Me,3:16,George Ezra,Wanted On Voyage,Singer/Songwriter,20
Heat Waves,3:59,Glass Animals,Dreamland (+ Bonus Levels),Alternative,20
Hear the Noise That Moves So Soft and Low,4:01,James Vincent McMorrow,Early in the Morning,Alternative,20
Little Wonder,3:07,Jamie Woon,Making Time,Alternative,20
It's All Good,2:53,Jeremy Loops,Heard You Got Love,Alternative,20
Grace Alone,3:39,Kings Kaleidoscope,Becoming Who We Are,Christian,20
Casanova,2:42,Landon Conrath,Casanova - Single,Indie Pop,20
The Godfather: Love Theme,2:53,Marko Letonja & Orchestre philharmonique de Strasbourg,The 3D Film Music Collection,Classical,20
I Will Wait,4:37,Mumford & Sons,Babel (Deluxe),Rock,20
Heavy,3:12,Oh Wonder,Ultralife,Alternative,20
Waste,4:17,Oh Wonder,Ultralife,Alternative,20
A Thousand Years,4:36,The Piano Guys,Serenity,Classical Crossover,20
Time in a Tree,3:45,Raleigh Ritchie,Andy,Alternative,20
The Love I Give,3:44,RHODES,The Love I Give - Single,Alternative,20
Unchained Melody,3:36,The Righteous Brothers,The Very Best of the Righteous Brothers - Unchained Melody,Pop,20
Hard Sometimes,4:29,Ruel,Free Time,Pop,20
Back To Black (BBC Radio 1 Live Session),5:13,Sam Fender,Back To Black (BBC Radio 1 Live Session) - Single,Singer/Songwriter,20
Like Gold,3:44,Vance Joy,Nation of Two,Alternative,20
Like Like,3:15,Victoria IX,Emotional Distancing,Pop,20
The Walk Home,3:17,Young the Giant,American Bollywood,Alternative,20
Amerika,4:00,Young the Giant,Home of the Strange,Alternative,20
"Ave Maria, D. 839 Op. 52 No. 6",5:55,"Airelle Besson, Ensemble Contraste, Arnaud Thorette & Johan Farjot",Schubert in Love,Classical,19
Another Place (feat. The Chamber Orchestra of London),4:18,Bastille,Roots Of ReOrchestrated - EP,Alternative,19
Broken Parable,6:12,Bear's Den,Red Earth & Pouring Rain,Alternative,19
Space Man,4:34,Eurielle,Space Man - Single,Pop,19
The Mighty Echo,5:11,The Family Crest,The War: Act I,Pop,19
One Step Back,3:34,Jack Gray,One Step Back - Single,Pop,19
Sparrow and the Wolf,3:40,James Vincent McMorrow,Early in the Morning,Alternative,19
Follow You Down to the Red Oak Tree,3:26,James Vincent McMorrow,Early in the Morning,Alternative,19
The Beggar In My Heart,3:20,Josh Record,Pillars (Deluxe Version),Alternative,19
Fade,4:04,Lewis Capaldi,Bloom - EP,Alternative,19
Nothing,3:41,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,19
The Peaks (feat. Kimberly Anne),4:11,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,19
Bikes,3:36,Lucy Rose,Like I Used To,Alternative,19
Rapide,4:04,Mahmood,Ghettolimpo,Pop,19
Anna,3:05,Mark Diamond,Butterflies In My Head,Singer/Songwriter,19
New Today (Stripped Version),3:20,Micah Tyler,New Today,Christian Pop,19
Dancer,4:11,"Novo Amor, Ed Tullett & Lowswimmer",Heiress,Alternative,19
Technicolour Beat,3:00,Oh Wonder,Oh Wonder,Alternative,19
Death of a Bachelor,3:24,Panic! At the Disco,Death of a Bachelor,Alternative,19
Leaving,2:30,The Pylons,Leaving - Single,Alternative,19
North,4:19,Sleeping At Last,Atlas: Year One,Alternative,19
The Light Upon Us,3:49,Talos,Far Out Dust,Alternative,19
Saturday Sun,3:35,Vance Joy,Nation of Two,Alternative,19
Nothing's Over,4:24,Young the Giant,Home of the Strange,Alternative,19
They Don't Care About Us,3:25,2CELLOS,Celloverse,Classical,19
Matter,2:13,Autonomy,Higher Ground - EP,Classical Crossover,18
Someone To You,3:40,BANNERS,Empires On Fire - EP,Alternative,18
Hoist the Colours,2:03,Colm R. McGuinness,Hoist the Colours - Single,Vocal,18
Let Go,2:54,Dean Lewis,Same Kind of Different - EP,Singer/Songwriter,18
Arms Unfolding,1:36,dodie,Human,Pop,18
Gone,4:11,Elevation Worship,At Midnight - EP,Christian,18
Pretty Shining People,3:32,George Ezra,Staying at Tamara's,Singer/Songwriter,18
Piano Concerto No. 21,7:24,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical,18
Valium,3:16,JC Stewart,When The Light Hits The Room - EP,Pop,18
Edge of the Light,3:59,Jordan Critz,Edge of the Light - Single,Worldwide,18
Hineni,3:28,Jordan Critz,Hineni - Single,Instrumental,18
Eternity,3:01,Jordan Critz,Kingdom - EP,Instrumental,18
Rescue,3:36,Lauren Daigle,Look Up Child,Christian,18
fly when i fall,4:10,Lewis Watson,the love that you want,Pop,18
Sink Or Swim,3:42,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,18
Home,2:51,Luke Chiang,Home - Single,Hip-Hop/Rap,18
Empire,4:22,Of Monsters and Men,Beneath The Skin,Alternative,18
Nothing But You,3:16,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,18
Body Gold,3:05,Oh Wonder,Oh Wonder,Alternative,18
Drive,3:16,Oh Wonder,Oh Wonder,Alternative,18
All About You,3:02,Oh Wonder,Ultralife,Alternative,18
Sugar Coated,3:08,Paul Davids & Rachel K Collier,Sugar Coated - Single,Pop,18
Atlas: Five,5:55,Sleeping At Last,Atlas: Five - Single,Singer/Songwriter,18
Moon (Instrumental),4:01,Sleeping At Last,Atlas: Space (Deluxe),Alternative,18
Southern,4:24,Sleeping At Last,Atlas: Year One,Alternative,18
Volcanic Love,3:26,The Aces,When My Heart Felt Volcanic,Alternative,17
Beats,3:19,AJR,Neotheater,Pop,17
Noah,3:54,Amber Run,5AM (Expanded Edition),Alternative,17
Good Morning,4:10,Amber Run,5AM (Expanded Edition),Alternative,17
Don't Wanna Fight,2:44,Amber Run,5AM (Expanded Edition),Alternative,17
Damage,3:30,The Band CAMINO,The Band CAMINO,Alternative,17
Farsighted,3:12,The Band CAMINO,tryhard,Alternative,17
Shut Off The Lights,3:07,Bastille,Give Me The Future,Alternative,17
Only Love,4:09,Ben Howard,Every Kingdom (Deluxe Edition),Singer/Songwriter,17
Is He Worthy?,4:32,Chris Tomlin,Holy Roar,Christian,17
I Know You (feat. Bastille),3:35,Craig David,I Know You (feat. Bastille) - Single,Dance,17
Nel Blu Dipinto Di Blu,3:39,Domenico Modugno,Nel Blu Dipinto Di Blu,Pop,17
Weak Heart,4:02,Ed Prosek,The Riverbed - EP,Singer/Songwriter,17
Balling,3:48,EDEN,Balling - Single,Alternative,17
Take Tonight,2:54,The Family Crest,The War: Act I,Pop,17
Dance,3:12,Fly By Midnight,Dance - Single,Pop,17
Joy of Nothing,5:06,Foy Vance,Joy of Nothing,Alternative,17
When You Love Somebody,3:24,James Smith,District Line EP,Pop,17
And If My Heart Should Somehow Stop,4:33,James Vincent McMorrow,Early in the Morning,Alternative,17
"Wicked Game (Recorded Live At St Canice Cathedral, Kilkenny)",4:31,James Vincent McMorrow,Early in the Morning,Alternative,17
so done,2:55,joan,bye - EP,Pop,17
Anomali Reprise,2:32,Jordan Critz,Anomali - EP,Electronic,17
Remember,3:59,Lauren Daigle,Look Up Child,Christian,17
run,4:16,Lewis Watson,midnight,Singer/Songwriter,17
Holding On,3:41,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,17
Windows,3:02,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,17
Nothing At All (Demo),3:38,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,17
Over the Atlantic (Demo),3:43,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,17
Caruso,5:15,Lucio Dalla,12000 Lune,Pop,17
Klan,2:59,Mahmood & DRD,Ghettolimpo,Pop,17
Caught Up & Confused,3:24,MarthaGunn,Something Good Will Happen,Alternative,17
Trouble Man,3:49,Marvin Gaye,Trouble Man (40th Anniversary Expanded Edition),R&B/Soul,17
Virale,3:05,Matteo Romano,Virale - Single,Pop,17
Rose of Sharon,3:24,Mumford & Sons,Delta,Alternative,17
Cavalry,5:12,Novo Amor & Ed Tullett,Heiress,Alternative,17
Dust,2:40,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,17
Dazzle,3:07,Oh Wonder,Oh Wonder,Alternative,17
Smell,4:21,Sleeping At Last,Atlas: Senses - EP,Singer/Songwriter,17
Home,4:35,Stillman,"Field Notes, Page 2 - Single",Pop,17
Contra,3:46,Talos,Contra - Single,Indie Pop,17
2AM,3:34,Talos,Far Out Dust,Alternative,17
Your Love Is an Island,4:06,Talos,O Sanctum - EP,Alternative,17
Fairly Local,3:27,twenty one pilots,Blurryface,Alternative,17
Mess Is Mine,3:44,Vance Joy,Dream Your Life Away,Alternative,17
Don't Throw out My Legos,4:11,AJR,Neotheater,Pop,16
Tessellate,3:03,alt-J,An Awesome Wave (Deluxe Version),Alternative,16
Tangled Vine,3:02,Andreas Moe,Before the Rumble Comes,Adult Alternative,16
Sunkissed,3:23,Chord Overstreet,Sunkissed - Single,Pop,16
Let The Light In,5:50,Cody Carnes,Run To The Father,Christian,16
Shallows (4AD Session),7:15,Daughter,4AD Session - EP,Alternative,16
More of You,3:05,Flo Chase,More of You (Acoustic) - Single,Alternative Folk,16
Head on Fire,3:09,Griff & Sigrid,Head on Fire - Single,Pop,16
Rest (with Samm Henshaw),3:29,half•alive,"Now, Not Yet",Alternative,16
nosebleeds,2:12,Harry Strange,nosebleeds - Single,Alternative,16
Natural,3:09,Imagine Dragons,Origins (Deluxe),Alternative,16
"Coalesce (Synesthesia, Pt. II)",2:23,Jack Garratt,Phase (Deluxe),Alternative,16
Bonfire Heart,3:58,James Blunt,Moon Landing,Pop,16
Breaking Hearts,4:49,James Vincent McMorrow,Early in the Morning,Alternative,16
From the Woods!!,3:57,James Vincent McMorrow,Early in the Morning,Alternative,16
Aperture,3:50,Jordan Critz,Aperture - Single,Instrumental,16
Nautilus,3:55,Jordan Critz,Parcel & Sky - EP,Instrumental,16
Bed of Thorns,3:40,Josh Record,Pillars (Deluxe Version),Alternative,16
The War,3:55,Josh Record,Pillars (Deluxe Version),Alternative,16
homebody,3:09,Kamal.,Homebody - Single,Pop,16
Retrograde (feat. 6LACK & Lucky Daye),3:40,Khalid,Scenic Drive (The Tape),R&B/Soul,16
Into the Wild,3:49,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,16
Ghost,4:16,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,16
Once Before,2:53,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,16
Roses,3:30,Lunatic Wolf,To the Adventure,Alternative,16
Il Nilo nel Naviglio,3:07,Mahmood,Gioventù bruciata,Pop,16
Lost In The Moment,4:49,MarthaGunn,Something Good Will Happen,Alternative,16
Tides,3:35,Mosa Wild,Talking in Circles - EP,Alternative,16
Keep Trying,3:50,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,16
How It Goes,3:25,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,16
White Blood,4:17,Oh Wonder,Oh Wonder,Alternative,16
All We Do,3:34,Oh Wonder,Oh Wonder,Alternative,16
Evermore (feat. Jordan Critz),4:09,Roary,Evermore (feat. Jordan Critz) - Single,Worldwide,16
Most of Us Are Strangers,3:43,Seafret,Most of Us Are Strangers,Indie Pop,16
South,4:04,Sleeping At Last,Atlas: Year One,Alternative,16
Lucky,3:40,Two Door Cinema Club,Lucky - Single,Alternative,16
Yosemite,3:45,Vancouver Sleep Clinic,Onwards to Zion,Alternative,16
My Thoughts On You,3:31,The Band CAMINO,Heaven - EP,Alternative,15
Greenwoods Bethlehem,5:33,Bear's Den,Red Earth & Pouring Rain,Alternative,15
Gabriel,4:05,Bear's Den,Red Earth & Pouring Rain,Alternative,15
Reckless Love,5:39,Bethel Music & Cory Asbury,Peace,Christian,15
Want Me Back,4:45,Cody Fry,Flying,Singer/Songwriter,15
Nice to Meet You,4:10,Cody Simpson,Cody Simpson,Pop,15
Telepath,3:15,Conan Gray,Fresh Beats,Pop,15
Blush,3:31,Corella,Blush - Single,Indie Pop,15
Weatherman,2:26,Eddie Benjamin,Weatherman - Single,Pop,15
Love Won't Give Up,4:40,Elevation Worship,At Midnight - EP,Christian & Gospel,15
Fourth of July,3:44,Fall Out Boy,American Beauty / American Psycho,Alternative,15
Over the Creek,3:57,George Ezra,Wanted On Voyage,Singer/Songwriter,15
TrusT,4:17,half•alive,"Now, Not Yet",Alternative,15
"Sunflower, Vol. 6",3:42,Harry Styles,Fine Line,Pop,15
Let It Go,4:23,James Bay,Chaos and the Calm,Singer/Songwriter,15
Satellites,3:13,James Blunt,Moon Landing,Pop,15
Little Love,4:01,James Smith,Little Love - EP,Singer/Songwriter,15
Kingdom,3:24,Jordan Critz,Kingdom - EP,Instrumental,15
Flight,4:30,Jordan Critz,Kingdom - EP,Instrumental,15
Reverie (Reprise),1:40,Jordan Critz,Reverie - Single,New Age,15
Heaven's Knife,3:23,Josh Garrels,Home,Alternative Folk,15
Pictures In the Dark,3:21,Josh Record,Pillars (Deluxe Version),Alternative,15
Dead Tree,4:35,Josh Record,Pillars (Deluxe Version),Alternative,15
Hold On To Me,3:05,Lauren Daigle,Hold On To Me - Single,CCM,15
Sink Or Swim,3:44,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,15
Even If,3:25,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,15
Bones (Demo),3:49,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,15
Slow Correction,4:01,Luca Fogale,Nothing is Lost,Singer/Songwriter,15
Lines,3:39,Lucy Rose,Like I Used To,Alternative,15
In My Mind,2:43,Lyn Lapid,Fresh Beats,Alternative,15
T'Amo,4:33,Mahmood,Ghettolimpo,Pop,15
Una Canzone Triste,3:34,Marco Mengoni,MATERIA (TERRA),Pop,15
Where Do We Go,2:33,"The Natural Synthetic, Miette Hope & Ariza",Where Do We Go - Single,Alternative,15
He was a Professional,3:07,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,15
I Make Sparks,3:39,Novo Amor,I Make Sparks - Single,Alternative,15
Danger,2:56,Olivia Dean,Danger - Single,Pop,15
Venus (Instrumental),3:21,Sleeping At Last,Atlas: Space (Deluxe),Alternative,15
Uranus (Instrumental),4:20,Sleeping At Last,Atlas: Space (Deluxe),Alternative,15
Pluto (Instrumental),3:47,Sleeping At Last,Atlas: Space (Deluxe),Alternative,15
Let Go,3:50,Talos,Far Out Dust,Alternative,15
Somebody's Gonna Love You,3:56,THE WLDLFE,"New, 2016 - EP",Alternative,15
Strings,4:10,Young the Giant,Young the Giant (Special Edition),Alternative,15
Hurricane,3:37,The Aces,When My Heart Felt Volcanic,Alternative,14
3D Feelings,3:18,Alfie Templeman,Mellow Moon,Pop,14
Meteor Showers,4:15,Andy Kong,Meteor Showers - EP,Singer/Songwriter,14
Just A Day,3:25,Aquilo,Just A Day - Single,Alternative,14
Blankets of Sorrow,4:28,Bear's Den,So that you might hear me,Alternative,14
Bones,5:46,Ben Howard,Every Kingdom (Deluxe Edition),Singer/Songwriter,14
See the Love,4:20,The Brilliance,All Is Not Lost,Singer/Songwriter,14
17,4:51,Chris Renzema,Let the Ground Rest,CCM,14
Unfortunate Love (feat. Harrison Storm) [Orchestral],4:33,Hayden Calnin,Unfortunate Love (feat. Harrison Storm) [Orchestral] - Single,Alternative,14
London Is Lonely,3:55,Holly Humberstone,London Is Lonely - Single,Alternative,14
Hold Back the River,4:00,James Bay,Chaos and the Calm,Singer/Songwriter,14
T-Shirts,3:10,James Smith,T-Shirts - Single,Singer/Songwriter,14
Skin,3:01,Jamie Woon,Making Time,Alternative,14
all the way,3:07,joan,all the way - Single,Pop,14
Kingdom of God,4:48,Jon Guerra,Keeper of Days,Christian,14
Aegis,2:49,Jordan Critz,Aegis - EP,Worldwide,14
Eden,3:49,Jordan Critz,Eden - Single,Worldwide,14
Hineni,3:28,Jordan Critz,Edge of the Light - EP,New Age,14
Eclipse,2:37,Jordan Critz,Edge of the Light - EP,New Age,14
Father's Land,5:36,Jordan Critz,Kingdom - EP,Instrumental,14
Restore,4:34,Jordan Critz,When We Get Home - EP,Worldwide,14
When We Get Home,4:25,Jordan Critz,When We Get Home - Single,Worldwide,14
Bones,4:50,Josh Record,Pillars (Deluxe Version),Alternative,14
The Blessing (Live),8:35,"Kari Jobe, Cody Carnes & Elevation Worship",The Blessing (Live) - Single,Christian,14
Bruises,3:38,Lewis Capaldi,Bloom - EP,Alternative,14
Songs That We Wrote When We Were Drunk,4:26,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,14
Made Up Love Song #43,4:02,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,14
La Song (Demo),3:20,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,14
First,3:50,Lucy Rose,Like I Used To,Alternative,14
Mr. Rattlebone,4:15,Matt Maeson,The Hearse - EP,Alternative,14
Just Outside,3:41,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,14
Without You,3:45,Oh Wonder,Oh Wonder,Alternative,14
The Rain,2:54,Oh Wonder,Oh Wonder,Alternative,14
Plans,3:56,Oh Wonder,Oh Wonder,Alternative,14
Build My Life (feat. Cory Asbury),4:23,Pat Barrett,Build My Life - EP,Christian,14
Bueno Funk,4:16,Peter White,Glow,Jazz,14
Mercury (Instrumental),3:33,Sleeping At Last,Atlas: Space (Deluxe),Alternative,14
Neptune (Instrumental),4:40,Sleeping At Last,Atlas: Space (Deluxe),Alternative,14
"August 12, 2018: Perseid Meteor Shower",2:02,Sleeping At Last,"August 12, 2018: Perseid Meteor Shower - Single",Instrumental,14
"December 24, 2021: Webb Space Telescope - Launch",3:25,Sleeping At Last,"December 24, 2021: Webb Space Telescope - Launch - Single",Instrumental,14
In the Fold,3:20,Talos,Far Out Dust,Alternative,14
Kansas,4:23,Talos,Kansas - Single,Alternative,14
All These Nights,2:34,Tom Grennan,All These Nights - Single,Alternative,14
Car Radio,4:28,twenty one pilots,Vessel (Bonus Tracks Version),Alternative,14
Crashing Into You,3:09,Vance Joy,Nation of Two,Alternative,14
3 on E (feat. Antwaun Stanley),2:58,Vulfpeck,"The Joy of Music, The Job of Real Estate",R&B/Soul,14
Dancing On The Waves (Radio Version),4:27,We The Kingdom,Dancing On The Waves (Radio Version) - Single,Christian,14
Higher Love,2:37,William Wild,Higher Love - Single,Alternative,14
Daydreamer,3:59,Young the Giant,Mind Over Matter,Alternative,14
Human,3:56,Aquilo,Human - EP,Electronic,13
I Gave It All,3:51,Aquilo,Human - EP,Electronic,13
Why'd You Only Call Me When You're High?,2:41,Arctic Monkeys,AM,Alternative,13
Roses on a Breeze,5:21,Bear's Den,Red Earth & Pouring Rain,Alternative,13
New Jerusalem,4:13,Bear's Den,Red Earth & Pouring Rain,Alternative,13
Flying,3:58,Cody Fry,Flying,Singer/Songwriter,13
Talk Too Much,3:09,COIN,How Will You Know If You Never Try,Alternative,13
Whale Song,2:38,Corey Kilgannon,I'll Be Here When the Moon Is Tired - EP,Pop,13
Freudian,10:02,Daniel Caesar,Freudian,R&B/Soul,13
Be Alright,3:16,Dean Lewis,Be Alright - Single,Singer/Songwriter,13
It Keeps Us Dancing,6:00,The Family Crest,The War: Act I,Pop,13
Never Gonna Stop,4:03,The Family Crest,The War: Act I,Pop,13
Do We Really Care? Pt. 1,2:28,"Future Utopia, Tom Grennan & Tia Carys",12 Questions,Hip-Hop/Rap,13
Pure Gold,3:34,half•alive,"Now, Not Yet",Alternative,13
Breathe Life,4:23,Jack Garratt,Phase (Deluxe),Alternative,13
"Early in the Morning, I'll Come Calling",2:37,James Vincent McMorrow,Early in the Morning,Alternative,13
This Town (feat. Ladysmith Black Mambazo),3:54,Jeremy Loops,Heard You Got Love,Alternative,13
New Light,3:37,John Mayer,Sob Rock,Pop,13
Aperture,3:50,Jordan Critz,Edge of the Light - EP,New Age,13
A Ripple in Time,2:20,Jordan Critz,A Ripple in Time - Single,Electronic,13
Through Your Eyes (feat. Birdtalker),3:47,Jordan Critz,Through Your Eyes (feat. Birdtalker) - Single,Alternative Folk,13
Light,3:29,Jordan Critz,When We Get Home - EP,Worldwide,13
Find Her Way To Me,4:12,Josh Record,Pillars (Deluxe Version),Alternative,13
about the party,2:24,Kamal.,about the party - Single,Pop,13
Lost On You,3:16,Lewis Capaldi,Bloom - EP,Alternative,13
Windows,4:04,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,13
Close,3:25,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,13
#3 (Demo),4:21,Lewis Watson,The Morning (All of the Songs),Singer/Songwriter,13
So Sorry,3:19,Lola Young,So Sorry - Single,R&B/Soul,13
I Guess That Was Goodbye,3:10,Lyn Lapid,I Guess That Was Goodbye - Single,Pop,13
Dei,2:23,Mahmood,Ghettolimpo,Pop,13
Zero,4:19,Mahmood,Ghettolimpo,Pop,13
Moonlight popolare,3:36,Mahmood & Massimo Pericolo,Moonlight popolare - Single,Pop,13
In Due Minuti,2:59,Marco Mengoni,MATERIA (TERRA),Pop,13
Don't Make Me Go There,4:00,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,13
Drunk on You,3:09,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,13
Better Now (Acoustic),3:14,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,13
Landslide,3:28,Oh Wonder,Oh Wonder,Alternative,13
Tosca: E lucevan le stelle (Arr. for Cello & Orchestra),4:21,"Ophélie Gaillard, Morphing Chamber Orchestra & Frédéric Chaslin",Puccini: Tosca - Single,Classical,13
Face to Face,3:24,Ruel,Free Time,Pop,13
Sally Boy,2:43,Sally Boy,EREZ,Alternative,13
Maria Maria (feat. The Product G&B) [Radio Mix],4:22,Santana,Supernatural (Remastered),Rock,13
Sun (Instrumental),4:37,Sleeping At Last,Atlas: Space (Deluxe),Alternative,13
Mars (Instrumental),3:58,Sleeping At Last,Atlas: Space (Deluxe),Alternative,13
Saturn (Instrumental),4:50,Sleeping At Last,Atlas: Space (Deluxe),Alternative,13
Sweeter Then,3:25,Tom Grennan,Evering Road (Deluxe),Alternative,13
The Outside,3:37,twenty one pilots,Scaled And Icy,Alternative,13
Icu,3:00,Victoria IX,Emotional Distancing,Pop,13
Mi Manchi (feat. Kenny G),3:35,Andrea Bocelli,Amore,Pop,12
Second Wind,3:47,Andreas Moe,Before the Rumble Comes,Adult Alternative,12
Losing You,3:26,Aquilo,Human - EP,Electronic,12
I Spend Too Much Time In My Room,4:32,The Band CAMINO,I Spend Too Much Time In My Room - Single,Alternative,12
Quarter Past Midnight,3:22,Bastille,Quarter Past Midnight - Single,Alternative,12
Love Can't Stand Alone,5:27,Bear's Den,Red Earth & Pouring Rain,Alternative,12
Fortress,5:22,Bear's Den,Red Earth & Pouring Rain,Alternative,12
Magic,3:53,By The Coast,Twist of Fate,Singer/Songwriter,12
Tonight Tonight,3:39,Celeste,Not Your Muse (Deluxe),Pop,12
Death & Taxes,5:05,Daniel Caesar,Pilgrim's Paradise - EP,R&B/Soul,12
Lose My Mind,3:21,Dean Lewis,Same Kind of Different - EP,Singer/Songwriter,12
Sunrise,4:00,"Dirk Maassen, SinfoniaNord & Esther Abrami",Echoes,Classical Crossover,12
Give Me Love,8:46,Ed Sheeran,+ (Deluxe Version),Pop,12
The Blanket of Night,4:22,Elbow,The Take Off and Landing of Everything,Alternative,12
Salina,3:24,GAIA,Alma,Pop,12
Asking For A Friend,2:48,Hastings,Hastings - EP,Pop,12
A Shade Of Blue,5:46,Incognito,Always There: 1981-2021 (40 Years & Still Groovin’),Pop,12
Far Cry,3:54,Jack Garratt,Phase (Deluxe),Alternative,12
Worry,4:03,Jack Garratt,Phase (Deluxe),Alternative,12
Surprise Yourself,4:21,Jack Garratt,Phase (Deluxe),Alternative,12
Chemical,3:35,Jack Garratt,Phase (Deluxe),Alternative,12
This Old Dark Machine,4:15,James Vincent McMorrow,Early in the Morning,Alternative,12
brokenhearted,3:32,joan,cloudy - EP,Alternative,12
Ease,3:07,Joel Ansett,I Should Get Some Rest - EP,Alternative,12
Eden,3:49,Jordan Critz,Aegis - EP,Worldwide,12
Summer Suite,3:16,Jordan Critz,Edge of the Light - EP,New Age,12
Evangeline,4:10,Josh Garrels,Chrysaline,Singer/Songwriter,12
Forever,4:37,Mumford & Sons,Delta,Alternative,12
Losing Ground,3:06,Newton Faulkner,Studio Zoo (Deluxe),Singer/Songwriter,12
Crystals,4:03,Of Monsters and Men,Beneath The Skin,Alternative,12
Shark,3:07,Oh Wonder,Oh Wonder,Alternative,12
Alcatraz,4:28,Oliver Riot,Hallucinate - EP,Folk,12
Better,4:57,Pat Barrett,Pat Barrett,Christian,12
Interchange,4:25,Phillip LaRue,Night Swimming - Single,Singer/Songwriter,12
I Will Follow You,3:27,RIVVRS,Hold On - EP,Singer/Songwriter,12
Real Thing,3:12,Ruel,Free Time,Pop,12
Revolution,3:52,The Score,ATLAS (Deluxe),Alternative,12
Jupiter (Instrumental),4:16,Sleeping At Last,Atlas: Space (Deluxe),Alternative,12
Tethered Bones,4:21,Talos,Tethered Bones - EP,Alternative,12
Something Better,3:04,Tom Grennan,Evering Road (Deluxe),Alternative,12
Angel Baby,3:41,Troye Sivan,Angel Baby - Single,Pop,12
I Got,4:20,Young the Giant,Young the Giant (Special Edition),Alternative,12
Birthday Party,3:44,AJR,Neotheater,Pop,11
"Turning Out, Pt. ii",3:43,AJR,Neotheater,Pop,11
Best of Us Go Down,3:27,Aquilo,Human - EP,Electronic,11
Almond Eyes,3:48,Brandon Lake,Almond Eyes - EP,Christian,11
Shoulda Coulda,2:56,Budjerah,Budjerah - EP,Pop,11
Stranger,4:23,Covey,Stranger - Single,Traditional Folk,11
With You,10:01,Elevation Worship,At Midnight - EP,Christian,11
Centuries,3:48,Fall Out Boy,American Beauty / American Psycho,Alternative,11
"For the Love of a Princess (From ""Braveheart"")",4:56,"HAUSER, London Symphony Orchestra & Robin Smith","Horner: For the Love of a Princess (From ""Braveheart"") - Single",Classical,11
Build My Life,8:12,Housefires,Housefires III,Christian,11
I Couldn't Want You Anyway,4:35,Jack Garratt,Phase (Deluxe),Alternative,11
Postcards,4:47,James Blunt,Moon Landing,Pop,11
Down the Burning Ropes,5:00,James Vincent McMorrow,Early in the Morning,Alternative,11
